"car_travel_time","bike_travel_time","walk_travel_time","transit_travel_time","transit_headway","choice","av1","av2","av3","av4","numstops","triptime","waitime","cumdist","totalbikes","totalvehs","male","female","nocarlicence","greenlicence","fulllicence","trippurp1","trippurp2","trippurp3","trippurp4","trippurp5","trippurp6","trippurp7","trippurp8"
"6","8","35","19","40",4,1,1,1,1,"4","10","0","3.03","3","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"7","24","99","89","20",4,1,1,1,1,"4","5","0","1.74","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"9","37","108","87","21",4,1,1,1,1,"4","5","0","1.74","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"35","139","634","82","50",4,1,1,1,1,"4","30","0","46.74","0","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"35","162","652","90","40",4,1,1,1,1,"4","30","0","46.74","0","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"3","2","9","9","40",1,1,1,1,1,"6","9","0","0.64","0","2",0,1,0,0,1,0,0,0,1,0,0,0,0
"3","3","10","9","30",1,1,1,1,1,"6","9","0","0.64","0","2",0,1,0,0,1,0,0,0,1,0,0,0,0
"55","152","530","122","30",4,1,1,1,1,"6","42","0","38.2","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"5","5","16","12","15",4,1,1,1,1,"6","5","0","0.87","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"5","4","15","13","15",4,1,1,1,1,"6","5","0","0.87","0","2",0,1,0,0,1,0,0,0,0,0,0,1,0
"60","122","513","132","40",4,1,1,1,1,"6","50","0","38.2","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"7","12","39","18","23",4,1,1,1,1,"10","5","0","2.42","0","2",1,0,0,0,1,0,0,0,0,1,0,0,0
"8","8","35","20","20",4,1,1,1,1,"10","5","0","2.42","0","2",1,0,0,0,1,0,0,0,0,1,0,0,0
"5","10","29","21","20",4,1,1,1,1,"10","5","0","2.25","0","2",1,0,0,0,1,0,0,0,0,0,1,0,0
"4","6","26","14","40",4,1,1,1,1,"10","5","0","2.25","0","2",1,0,0,0,1,0,0,0,0,0,1,0,0
"7","12","39","18","52",4,1,1,1,1,"10","5","0","2.79","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"6","8","35","19","40",4,1,1,1,1,"10","5","0","2.79","0","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"30","85","351","78","40",4,1,1,1,1,"10","40","0","24.83","0","2",1,0,0,0,1,0,0,0,0,0,0,0,0
"30","71","337","50","40",4,1,1,1,1,"10","30","0","24.83","0","2",1,0,0,0,1,0,0,0,0,0,0,0,0
"5","13","39","18","18",4,1,1,1,1,"10","5","0","2.42","0","2",1,0,0,0,1,0,0,0,0,1,0,0,0
"5","8","35","20","5",4,1,1,1,1,"10","5","0","2.42","0","2",1,0,0,0,1,0,0,0,0,1,0,0,0
"38","85","351","51","32",3,1,1,1,1,"6","80","11","23.505","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"30","71","337","49","20",3,1,1,1,1,"6","70","5","23.505","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"14","46","225","58","116",4,1,1,1,1,"4","19","0","15.85","1","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"14","60","236","81","116",4,1,1,1,1,"4","15","0","15.85","1","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"50","131","500","124","88",4,1,1,1,1,"4","40","0","40.53","1","2",1,0,0,0,1,0,0,0,0,0,0,0,1
"55","113","481","115","76",4,1,1,1,1,"4","35","0","40.53","1","2",1,0,0,0,1,0,0,0,0,0,0,0,1
